dogName,dogId
Madabout Shell,489001
Uncle Don,489401
Off You Trot,489501
Droopys Babette,489801
Lissycasey Best,490001
Montore Sawdy,490201
Kilara Serenity,490401
Champagne Rose,490601
Trogan Rocket,490701
Cheerful Delight,491201
Racecourse Black,491301
Bumblebee Just,491401
Ascot Eddie,496225
Target Legacy,492101
Whats Lily Upto,492201
Tip Top Shiraz,492501
Clarina Star,493101
Jet Supreme,493201
Jitterish,493501
Coolagown Pretty,493801
Jetstream Wizkid,493901
Missy No Name,494001
Suirview Janet,494101
Droopys Max,494201
Suirview Ellis,494301
Baby Charlie,494401
Crossfield Cliff,494701
Target Caitlin,494801
Seaview Auzzie,495101
Sneezys Destiny,495401
Droopys Fabulous,495601
Tudor Music,493730
Barrack Donie,496401
Graigues Azera,496801
